"X","hotel_name","clean_score","location_score","service_score","room_score","money_score","food_score","transport_score","facilities_score","culture_score","joy_score","Hotel_Address","Average_Score","Total_Number_of_Reviews","lat","lng","country","id"
"1","11 Cadogan Gardens",0.121212121212121,0.151515151515152,0.0303030303030303,0.0909090909090909,0.0606060606060606,0.166666666666667,0,0.0151515151515152,0,0.0151515151515152,"11 Cadogan Gardens Sloane Square Kensington and Chelsea London SW3 2RJ United Kingdom",8.7,393,51.4936161,-0.1592347,"United Kingdom",78
"2","1K Hotel",0.1875,0.0625,0.0375,0.1875,0.075,0.1375,0,0,0,0.0125,"13 Boulevard Du Temple 3rd arr 75003 Paris France",7.7,663,48.8639318,2.3658744,"France",120
"3","25hours Hotel beim MuseumsQuartier",0.0773480662983425,0.0497237569060773,0.00552486187845304,0.113259668508287,0.0276243093922652,0.353591160220994,0.0276243093922652,0.0110497237569061,0.00276243093922652,0.0773480662983425,"Lerchenfelder Stra e 1 3 07 Neubau 1070 Vienna Austria",8.8,4324,48.2064745,16.3546297,"Austria",1046
"4","41",0.179487179487179,0.230769230769231,0,0.128205128205128,0.0256410256410256,0.153846153846154,0.0256410256410256,0,0,0.102564102564103,"41 Buckingham Palace Road Westminster Borough London SW1W 0PS United Kingdom",9.6,244,51.4981471,-0.1436492,"United Kingdom",522
"5","88 Studios",0.204761904761905,0.0428571428571429,0.00952380952380952,0.238095238095238,0.0619047619047619,0.0571428571428571,0.00952380952380952,0.0238095238095238,0,0.0476190476190476,"88 Holland Road Kensington and Chelsea London W14 8BN United Kingdom",8.4,955,51.4992789,-0.2090733,"United Kingdom",737
"6","9Hotel Republique",0.208791208791209,0.0659340659340659,0.032967032967033,0.285714285714286,0.021978021978022,0.307692307692308,0.010989010989011,0.010989010989011,0.010989010989011,0.0549450549450549,"7 9 Rue Pierre Chausson 10th arr 75010 Paris France",8.8,857,48.8708419,2.3605864,"France",672
"7","A La Villa Madame",0.210526315789474,0.105263157894737,0.105263157894737,0.157894736842105,0.105263157894737,0.315789473684211,0,0,0,0,"44 Rue Madame 6th arr 75006 Paris France",8.8,185,48.8488608,2.3315257,"France",539
"8","ABaC Restaurant Hotel Barcelona GL Monumento",0.0555555555555556,0.166666666666667,0,0.111111111111111,0.111111111111111,0.444444444444444,0,0,0,0,"Avenida Tibidabo 1 Sarri St Gervasi 08022 Barcelona Spain",8.8,111,41.4106944,2.136294,"Spain",819
"9","Abba Garden",0.133333333333333,0.0444444444444444,0.0222222222222222,0.177777777777778,0.0444444444444444,0.222222222222222,0,0,0,0,"Santa Rosa Esplugues 33 08950 Barcelona Spain",7.9,959,41.3854716,2.1018835,"Spain",1248
"10","Abba Sants",0.140350877192982,0.0350877192982456,0.0526315789473684,0.157894736842105,0.0526315789473684,0.175438596491228,0.0350877192982456,0.0175438596491228,0,0,"Numancia 32 Sants Montju c 08029 Barcelona Spain",8.2,964,41.3825777,2.1400103,"Spain",1102
"11","AC Hotel Barcelona Forum a Marriott Lifestyle Hotel",0.111111111111111,0.0256410256410256,0.0170940170940171,0.0769230769230769,0.0427350427350427,0.196581196581197,0.0256410256410256,0.00854700854700855,0,0.0427350427350427,"Paseo Taulat 278 Sant Mart 08019 Barcelona Spain",8.1,1560,41.4101306,2.2188047,"Spain",1130
